time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637454	0.736009	4.65403	1.1284	0.110673	radar	16.4999	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03653	0.612607	4.76606	0.0191985	0.00842196	lidar	5.13204	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23995	0.512166	4.89489	0.0155	0.04453	radar	2.40503	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54066	0.562609	4.93046	0.0688328	0.0726902	lidar	1.20567	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78615	0.561818	5.32031	0.0833237	0.191927	radar	1.74268	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08811	0.602703	5.35525	0.0998079	0.213274	lidar	0.763246	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30925	0.643476	5.22862	0.139405	0.238007	radar	1.78701	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58657	0.675835	5.2554	0.136034	0.192477	lidar	0.280848	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86009	0.663982	5.29179	0.0749401	-0.0484147	radar	0.357827	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09959	0.670891	5.26661	0.0620038	-0.0917952	lidar	0.491532	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39252	0.561096	5.3374	-0.112116	-0.634295	radar	2.36282	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70066	0.450181	5.41799	-0.246849	-0.935299	lidar	3.37574	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98109	0.537607	5.44479	-0.0959276	-0.361482	radar	3.66937	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25961	0.531756	5.44561	-0.0911912	-0.302349	lidar	0.276299	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51882	0.570981	5.34959	-0.0458504	-0.162937	radar	1.31162	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.70717	0.685983	5.17363	0.06643	0.10098	lidar	10.0843	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95917	0.683966	5.08773	0.054349	0.0662581	radar	1.56753	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26321	0.674864	5.17023	0.0356874	0.0232336	lidar	3.54821	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52402	0.680633	5.25316	0.0354324	0.0220173	radar	1.65864	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82332	0.692318	5.31126	0.0364006	0.021924	lidar	2.10287	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06585	0.614789	5.18471	-0.0271025	-0.096358	radar	3.7601	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32153	0.731643	5.17139	0.056273	0.0570789	lidar	3.31613	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57144	0.76556	5.12253	0.0721923	0.078758	radar	0.323687	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82029	0.75965	5.11379	0.0597948	0.0515014	lidar	0.217007	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06198	0.741596	4.97918	0.0396797	0.0117764	radar	2.47381	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27906	0.828622	4.93217	0.091662	0.0960387	lidar	2.26296	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57657	0.83986	5.14614	0.0865151	0.0800756	radar	5.20086	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83055	0.81123	5.13989	0.0579782	0.0273352	lidar	0.616871	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.0789	0.828612	5.0322	0.0600794	0.02633	radar	2.27826	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31649	0.8441	5.01206	0.0622245	0.0278007	lidar	0.248151	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.58799	0.944927	5.19937	0.117635	0.118056	radar	6.58895	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82797	1.00525	5.17473	0.142771	0.149446	lidar	0.499949	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.11927	1.0477	5.24578	0.15069	0.149232	radar	6.85423	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.35925	1.07623	5.21481	0.15224	0.140076	lidar	0.606702	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.63885	1.15967	5.2842	0.183908	0.179323	radar	4.22098	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91469	1.29661	5.33232	0.244968	0.262753	lidar	2.46987	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1578	1.40631	5.20552	0.290561	0.322212	radar	4.44572	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3814	1.47884	5.16644	0.306968	0.323481	lidar	0.939847	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6077	1.57935	5.02169	0.344151	0.367058	radar	3.08277	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8327	1.58738	4.96651	0.317089	0.295691	lidar	1.77904	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
